gamePk,date,home,away,status
745113,2024-04-14T17:40:00Z,Tampa Bay Rays,San Francisco Giants,Final
746492,2024-04-14T17:40:00Z,Detroit Tigers,Minnesota Twins,Final
746079,2024-04-14T17:40:00Z,Miami Marlins,Atlanta Braves,Final
746648,2024-04-14T17:40:00Z,Cleveland Guardians,New York Yankees,Final
746404,2024-04-14T18:10:00Z,Houston Astros,Texas Rangers,Final
746810,2024-04-14T18:10:00Z,Chicago White Sox,Cincinnati Reds,Final
745681,2024-04-14T20:07:00Z,Oakland Athletics,Washington Nationals,Final
745271,2024-04-14T20:10:00Z,Seattle Mariners,Chicago Cubs,Final
747216,2024-04-14T20:10:00Z,Arizona Diamondbacks,St. Louis Cardinals,Final
746164,2024-04-14T23:10:00Z,Los Angeles Dodgers,San Diego Padres,Final
746974,2024-04-15T15:10:00Z,Boston Red Sox,Cleveland Guardians,Final
747053,2024-04-15T22:35:00Z,Baltimore Orioles,Minnesota Twins,Final
746488,2024-04-15T22:40:00Z,Detroit Tigers,Texas Rangers,Final
745597,2024-04-15T22:40:00Z,Philadelphia Phillies,Colorado Rockies,Final
746080,2024-04-15T22:40:00Z,Miami Marlins,San Francisco Giants,Final
745106,2024-04-15T22:50:00Z,Tampa Bay Rays,Los Angeles Angels,Final
744951,2024-04-15T23:07:00Z,Toronto Blue Jays,New York Yankees,Final
745840,2024-04-15T23:10:00Z,New York Mets,Pittsburgh Pirates,Final
746813,2024-04-15T23:40:00Z,Chicago White Sox,Kansas City Royals,Final
746002,2024-04-15T23:40:00Z,Milwaukee Brewers,San Diego Padres,Final
746406,2024-04-16T00:10:00Z,Houston Astros,Atlanta Braves,Final
747213,2024-04-16T01:40:00Z,Arizona Diamondbacks,Chicago Cubs,Final
745677,2024-04-16T01:40:00Z,Oakland Athletics,St. Louis Cardinals,Final
745268,2024-04-16T01:42:00Z,Seattle Mariners,Cincinnati Reds,Final
746158,2024-04-16T02:10:00Z,Los Angeles Dodgers,Washington Nationals,Final
746486,2024-04-16T17:10:00Z,Detroit Tigers,Texas Rangers,Final
747051,2024-04-16T22:35:00Z,Baltimore Orioles,Minnesota Twins,Final
745593,2024-04-16T22:40:00Z,Philadelphia Phillies,Colorado Rockies,Final
746081,2024-04-16T22:40:00Z,Miami Marlins,San Francisco Giants,Final
745108,2024-04-16T22:50:00Z,Tampa Bay Rays,Los Angeles Angels,Final
744944,2024-04-16T23:07:00Z,Toronto Blue Jays,New York Yankees,Final
746976,2024-04-16T23:10:00Z,Boston Red Sox,Cleveland Guardians,Final
745837,2024-04-16T23:10:00Z,New York Mets,Pittsburgh Pirates,Final
746004,2024-04-16T23:40:00Z,Milwaukee Brewers,San Diego Padres,Final
746400,2024-04-17T00:10:00Z,Houston Astros,Atlanta Braves,Final
747214,2024-04-17T01:40:00Z,Arizona Diamondbacks,Chicago Cubs,Final
745270,2024-04-17T01:40:00Z,Seattle Mariners,Cincinnati Reds,Final
