gamePk,date,home_team,away_team,status,home_score,away_score
776235,2025-09-21T18:10:00Z,Chicago White Sox,San Diego Padres,Preview,,
776231,2025-09-21T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,Preview,,
776226,2025-09-21T18:35:00Z,Texas Rangers,Miami Marlins,Preview,,
776232,2025-09-21T19:10:00Z,Colorado Rockies,Los Angeles Angels,Preview,,
776227,2025-09-21T20:10:00Z,Los Angeles Dodgers,San Francisco Giants,Preview,,
776230,2025-09-21T20:10:00Z,Arizona Diamondbacks,Philadelphia Phillies,Preview,,
776236,2025-09-21T23:35:00Z,Tampa Bay Rays,Boston Red Sox,Preview,,
776221,2025-09-22T23:15:00Z,Atlanta Braves,Washington Nationals,Preview,,
776222,2025-09-23T01:40:00Z,San Diego Padres,Milwaukee Brewers,Preview,,
776220,2025-09-23T01:45:00Z,San Francisco Giants,St. Louis Cardinals,Preview,,
776223,2025-09-23T22:35:00Z,Baltimore Orioles,Tampa Bay Rays,Preview,,
776218,2025-09-23T22:40:00Z,Cleveland Guardians,Detroit Tigers,Preview,,
776224,2025-09-23T22:40:00Z,Cincinnati Reds,Pittsburgh Pirates,Preview,,
776215,2025-09-23T22:45:00Z,Philadelphia Phillies,Miami Marlins,Preview,,
776216,2025-09-23T23:05:00Z,New York Yankees,Chicago White Sox,Preview,,
776217,2025-09-23T23:07:00Z,Toronto Blue Jays,Boston Red Sox,Preview,,
776219,2025-09-23T23:15:00Z,Atlanta Braves,Washington Nationals,Preview,,
776209,2025-09-23T23:40:00Z,Chicago Cubs,New York Mets,Preview,,
776210,2025-09-24T00:05:00Z,Texas Rangers,Minnesota Twins,Preview,,
776207,2025-09-24T01:38:00Z,Los Angeles Angels,Kansas City Royals,Preview,,
776213,2025-09-24T01:40:00Z,Arizona Diamondbacks,Los Angeles Dodgers,Preview,,
776212,2025-09-24T01:40:00Z,Seattle Mariners,Colorado Rockies,Preview,,
776214,2025-09-24T01:40:00Z,San Diego Padres,Milwaukee Brewers,Preview,,
776211,2025-09-24T01:45:00Z,San Francisco Giants,St. Louis Cardinals,Preview,,
776208,2025-09-24T02:05:00Z,Athletics,Houston Astros,Preview,,
776200,2025-09-24T16:15:00Z,Atlanta Braves,Washington Nationals,Preview,,
776198,2025-09-24T20:10:00Z,San Diego Padres,Milwaukee Brewers,Preview,,
776203,2025-09-24T22:35:00Z,Baltimore Orioles,Tampa Bay Rays,Preview,,
776204,2025-09-24T22:40:00Z,Cleveland Guardians,Detroit Tigers,Preview,,
776202,2025-09-24T22:40:00Z,Cincinnati Reds,Pittsburgh Pirates,Preview,,
776201,2025-09-24T22:45:00Z,Philadelphia Phillies,Miami Marlins,Preview,,
776199,2025-09-24T23:05:00Z,New York Yankees,Chicago White Sox,Preview,,
776206,2025-09-24T23:07:00Z,Toronto Blue Jays,Boston Red Sox,Preview,,
776205,2025-09-24T23:40:00Z,Chicago Cubs,New York Mets,Preview,,
776192,2025-09-25T00:05:00Z,Texas Rangers,Minnesota Twins,Preview,,
776197,2025-09-25T01:38:00Z,Los Angeles Angels,Kansas City Royals,Preview,,
776193,2025-09-25T01:40:00Z,Arizona Diamondbacks,Los Angeles Dodgers,Preview,,
776194,2025-09-25T01:40:00Z,Seattle Mariners,Colorado Rockies,Preview,,
776196,2025-09-25T01:45:00Z,San Francisco Giants,St. Louis Cardinals,Preview,,
776195,2025-09-25T02:05:00Z,Athletics,Houston Astros,Preview,,
776190,2025-09-25T16:40:00Z,Cincinnati Reds,Pittsburgh Pirates,Preview,,
776191,2025-09-25T17:05:00Z,Baltimore Orioles,Tampa Bay Rays,Preview,,
776183,2025-09-25T18:35:00Z,Texas Rangers,Minnesota Twins,Preview,,
776182,2025-09-25T19:35:00Z,Athletics,Houston Astros,Preview,,
776185,2025-09-25T19:40:00Z,Arizona Diamondbacks,Los Angeles Dodgers,Preview,,
776188,2025-09-25T22:05:00Z,Philadelphia Phillies,Miami Marlins,Preview,,
776189,2025-09-25T22:40:00Z,Cleveland Guardians,Detroit Tigers,Preview,,
776184,2025-09-25T23:05:00Z,New York Yankees,Chicago White Sox,Preview,,
776186,2025-09-25T23:07:00Z,Toronto Blue Jays,Boston Red Sox,Preview,,
776187,2025-09-25T23:40:00Z,Chicago Cubs,New York Mets,Preview,,
776178,2025-09-26T01:38:00Z,Los Angeles Angels,Kansas City Royals,Preview,,
776179,2025-09-26T01:40:00Z,Seattle Mariners,Colorado Rockies,Preview,,
776167,2025-09-26T18:20:00Z,Chicago Cubs,St. Louis Cardinals,Preview,,
776176,2025-09-26T22:45:00Z,Philadelphia Phillies,Minnesota Twins,Preview,,
776165,2025-09-26T22:45:00Z,Washington Nationals,Chicago White Sox,Preview,,
776174,2025-09-26T23:05:00Z,New York Yankees,Baltimore Orioles,Preview,,
776177,2025-09-26T23:07:00Z,Toronto Blue Jays,Tampa Bay Rays,Preview,,
776181,2025-09-26T23:10:00Z,Boston Red Sox,Detroit Tigers,Preview,,
776175,2025-09-26T23:10:00Z,Cleveland Guardians,Texas Rangers,Preview,,
776173,2025-09-26T23:10:00Z,Miami Marlins,New York Mets,Preview,,
776180,2025-09-26T23:15:00Z,Atlanta Braves,Pittsburgh Pirates,Preview,,
776171,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,Preview,,
776169,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,Preview,,
776170,2025-09-27T01:40:00Z,San Diego Padres,Arizona Diamondbacks,Preview,,
776168,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,Preview,,
776172,2025-09-27T02:05:00Z,Athletics,Kansas City Royals,Preview,,
776166,2025-09-27T02:15:00Z,San Francisco Giants,Colorado Rockies,Preview,,
776162,2025-09-27T17:05:00Z,New York Yankees,Baltimore Orioles,Preview,,
776164,2025-09-27T18:20:00Z,Chicago Cubs,St. Louis Cardinals,Preview,,
776159,2025-09-27T19:07:00Z,Toronto Blue Jays,Tampa Bay Rays,Preview,,
776146,2025-09-27T20:05:00Z,San Francisco Giants,Colorado Rockies,Preview,,
776160,2025-09-27T20:05:00Z,Washington Nationals,Chicago White Sox,Preview,,
776157,2025-09-27T20:10:00Z,Boston Red Sox,Detroit Tigers,Preview,,
776161,2025-09-27T20:10:00Z,Miami Marlins,New York Mets,Preview,,
776163,2025-09-27T22:05:00Z,Philadelphia Phillies,Minnesota Twins,Preview,,
