match_time,home_team,away_team,site,market,outcome,odds
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,DraftKings,spreads,New York Yankees,1.79
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetMGM,h2h,Los Angeles Angels,3.0
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetMGM,h2h,New York Yankees,1.4
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetMGM,spreads,Los Angeles Angels,2.0
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetMGM,spreads,New York Yankees,1.83
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetUS,h2h,Los Angeles Angels,3.22
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetUS,h2h,New York Yankees,1.38
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetUS,spreads,Los Angeles Angels,2.05
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetUS,spreads,New York Yankees,1.8
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,Bovada,h2h,Los Angeles Angels,3.05
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,Bovada,h2h,New York Yankees,1.4
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,Bovada,spreads,Los Angeles Angels,2.1
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,Bovada,spreads,New York Yankees,1.77
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetRivers,h2h,Los Angeles Angels,3.05
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetRivers,h2h,New York Yankees,1.4
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetRivers,spreads,Los Angeles Angels,2.0
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetRivers,spreads,New York Yankees,1.81
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,FanDuel,h2h,Arizona Diamondbacks,1.94
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,FanDuel,h2h,Toronto Blue Jays,1.91
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,FanDuel,spreads,Arizona Diamondbacks,2.5
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,FanDuel,spreads,Toronto Blue Jays,1.55
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetOnline.ag,h2h,Arizona Diamondbacks,1.95
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetOnline.ag,h2h,Toronto Blue Jays,1.95
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetOnline.ag,spreads,Arizona Diamondbacks,1.5
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetOnline.ag,spreads,Toronto Blue Jays,2.75
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,LowVig.ag,h2h,Arizona Diamondbacks,1.95
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,LowVig.ag,h2h,Toronto Blue Jays,1.95
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,LowVig.ag,spreads,Arizona Diamondbacks,1.5
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,LowVig.ag,spreads,Toronto Blue Jays,2.76
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetMGM,h2h,Arizona Diamondbacks,1.91
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetMGM,h2h,Toronto Blue Jays,1.91
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetMGM,spreads,Arizona Diamondbacks,2.55
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetMGM,spreads,Toronto Blue Jays,1.53
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,Bovada,h2h,Arizona Diamondbacks,1.93
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,Bovada,h2h,Toronto Blue Jays,1.89
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,Bovada,spreads,Arizona Diamondbacks,2.55
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,Bovada,spreads,Toronto Blue Jays,1.56
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetUS,h2h,Arizona Diamondbacks,1.95
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetUS,h2h,Toronto Blue Jays,1.95
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetUS,spreads,Arizona Diamondbacks,1.5
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetUS,spreads,Toronto Blue Jays,2.72
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,DraftKings,h2h,Arizona Diamondbacks,1.93
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,DraftKings,h2h,Toronto Blue Jays,1.89
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,DraftKings,spreads,Arizona Diamondbacks,2.46
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,DraftKings,spreads,Toronto Blue Jays,1.56
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetRivers,h2h,Arizona Diamondbacks,1.92
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetRivers,h2h,Toronto Blue Jays,1.92
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetRivers,spreads,Arizona Diamondbacks,2.48
2025-06-18 23:08:00+00:00,Toronto Blue Jays,Arizona Diamondbacks,BetRivers,spreads,Toronto Blue Jays,1.53
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,FanDuel,h2h,Cincinnati Reds,1.77
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,FanDuel,h2h,Minnesota Twins,2.1
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,FanDuel,spreads,Cincinnati Reds,2.55
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,FanDuel,spreads,Minnesota Twins,1.53
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,LowVig.ag,h2h,Cincinnati Reds,1.78
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,LowVig.ag,h2h,Minnesota Twins,2.16
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,LowVig.ag,spreads,Cincinnati Reds,2.61
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,LowVig.ag,spreads,Minnesota Twins,1.55
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetOnline.ag,h2h,Cincinnati Reds,1.78
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetOnline.ag,h2h,Minnesota Twins,2.16
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetOnline.ag,spreads,Cincinnati Reds,2.6
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,BetOnline.ag,spreads,Minnesota Twins,1.55
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,DraftKings,h2h,Cincinnati Reds,1.78
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,DraftKings,h2h,Minnesota Twins,2.05
2025-06-18 23:11:00+00:00,Cincinnati Reds,Minnesota Twins,DraftKings,spreads,Cincinnati Reds,2.64
